h11,log10_mass_over_Mpl_median_mean,log10_mass_over_Mpl_median_std,log10_f_over_Mpl_median_mean,log10_f_over_Mpl_median_std,log10_coupling_median_mean,log10_coupling_median_std,mass_eV_min_mean,mass_eV_min_std,mass_eV_max_mean,mass_eV_max_std,abs_coupling_min_mean,abs_coupling_min_std,abs_coupling_max_mean,abs_coupling_max_std
212,-2.104928790615213,1.1282398659973414,-7.466658758768081,0.9509308727782587,-20.043269480473626,5.095380475331683,8.133115570656593e+21,8.952096935126373e+21,3.749779432133732e+33,6.462091070113811e+33,1.8311375283222428e-27,4.251109866939333e-27,1.6617855255308203e-12,3.817944204568894e-12
213,-1.9472779455581684,0.923451722048213,-7.267372935201007,0.48174619260299284,-20.787650712176028,4.247941949982083,7.556875317145247e+21,8.074671314128513e+21,5.333937489967379e+32,5.19056904765296e+32,1.8022287930424234e-26,3.194843514544846e-26,1.6066878994689827e-13,2.985349585431401e-13
214,-1.840518923780427,1.3770511396609497,-7.209909057574843,0.6584892559002983,-19.664920371864277,3.690463444451985,2.3103926834460403e+22,1.6361561703364717e+22,1.2656563542059628e+33,2.5963096511053073e+33,2.4750124701805815e-26,5.860171032222028e-26,4.2660010603960936e-14,7.899983763608299e-14
215,-1.3940509712911118,1.3245316167502674,-7.467942407461909,0.3879728306170783,-18.72506974453458,3.023640965192724,2.6081894081701433e+22,3.728813792434166e+22,8.894968806780275e+32,7.097425703354662e+32,1.449384489824969e-26,3.8008076284066776e-26,9.725413306493746e-14,1.2131619723685252e-13
216,-2.418600056339879,1.1063838250093354,-7.159736369877938,0.32210958817171376,-18.529668924342285,2.6246332584340712,7.09086630094502e+21,1.4149978161696651e+22,5.085415425600406e+32,5.223979350443984e+32,2.8967261888469323e-27,5.283556993824088e-27,1.2625047595929305e-14,3.083347831706723e-14
217,-1.948009431676418,1.6885840829809637,-7.435029723486068,0.8983697053176602,-21.869186980056014,4.80843062019085,1.1763692432294131e+22,2.4970304014220337e+22,1.3627583282454597e+33,1.9146091732588603e+33,1.0108296010636724e-26,1.5116635570210664e-26,3.248574495984338e-13,5.207756229696594e-13
218,-1.8980082324849477,1.4485956741942396,-7.679739157840352,0.8116526923170089,-20.1850546165783,5.4391718207262505,6.496151695887626e+22,1.120319500689942e+23,2.95527066225806e+33,3.551555997410719e+33,2.8196222409754317e-26,7.695534195602834e-26,2.2795215839318652e-12,5.652105251952388e-12
219,-1.177874508279709,1.032476347158495,-7.898893433022503,0.6735141909411319,-19.25532672943975,3.106326234967887,1.9305282283651348e+22,3.042866073252146e+22,3.3757661866732735e+33,4.9701340646154966e+33,1.2217945040906633e-25,2.464432276141289e-25,1.627933310320527e-13,2.632936952782639e-13
220,-1.9948478284125326,1.0729933155895404,-7.7015812082191974,0.6337698168533785,-17.935257392428227,3.5352996574938342,3.2308918062626413e+22,6.432131042766507e+22,4.0831122331128735e+33,4.369418344423395e+33,1.3005021913091725e-26,2.2327217214456995e-26,2.5316692651031685e-13,6.188529497475382e-13
221,-0.9781603890753768,2.2155975120726055,-7.7601762318331025,0.9267870704485606,-20.958547192162722,4.364646613287113,3.921066197762338e+22,5.197178253432149e+22,3.588055873960903e+33,5.639569881567103e+33,3.357000423309676e-26,9.67243549806177e-26,2.6953154269298515e-13,3.43291366091983e-13
