h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
12,8,-22.014654268501776,-2.1873067528893215,-18.511368741396904,13027.550779102552,64552427194163.1,1.2381561981343563e-20,1.5404669062386552e-18,7
12,9,-8.624368561479084,1.9246715224746023,-18.2368887939355,1.3491170460885662e+17,1.2554289113611474e+27,1.1899950467956298e-20,8.970924390986099e-18,8
13,0,-3.4847848718445964,-4.579139356266445,-20.34339927815715,2.297388515494624e+19,7.470028597820918e+27,1.1340931373143619e-24,2.1807619110114844e-18,9
13,1,-7.5718039935634955,-0.4188697733809407,-17.74498430379213,4.596235583198403e+18,1.5044163608825078e+28,3.5331965249760655e-21,8.942386740706833e-18,8
13,2,-6.941641887691965,-3.9777022585958624,-17.945740332809912,2.1793695992007593e+18,1.523350233836081e+27,1.457763492918964e-20,5.6868668298903264e-18,8
13,3,-11.65867538556749,0.22366539949017158,-18.398763156673343,445893859401718.6,5.072055858683334e+23,2.5929898273297038e-20,1.6306033774248258e-18,9
13,4,-12.045462306522243,-1.185935786719846,-18.510366103139965,161203891004807.22,2.10523029994578e+23,2.0255273807219688e-20,2.776483698482648e-18,9
13,5,-26.08591856301733,-3.2150630193671645,-18.869809601280007,2.697678950511324,6380828306.153756,1.4424245821936864e-20,5.571936161390956e-19,7
13,6,-19.811506916270346,8.264781146415618,-18.96081832058514,1883186.4257730008,7199408228793520.0,2.9804291325122374e-20,3.4704489522387114e-19,8
13,7,-5.754263926115085,-3.57728376622537,-19.27891924792476,1.3622566812760072e+19,6.8509345095945245e+28,2.6592827974871653e-27,5.374531952232556e-19,11
13,8,-35.792163935757344,2.0871298024415395,-18.45975822786429,5.651687422987378e-10,0.5634421631925685,3.1985731624547263e-20,1.399698379002484e-18,8
13,9,-12.426551783753805,19.938786277662928,-17.303507172579586,75884353162880.83,4.4078904158276374e+23,6.837816462013842e-21,1.2113767660590512e-17,6
14,0,-28.298425519365725,-4.153679719093405,-18.354755119964285,0.007342955794879176,15496394.7016219,6.679469867493998e-20,7.641371592854424e-19,9
14,1,-6.591906661667045,-0.10902818494297464,-18.241652428245573,5.14092016188343e+19,2.9874868236295815e+29,1.3916685757049965e-21,6.8126207598080345e-18,7
14,2,-4.296452288073222,-3.8494774177935893,-20.33861009695963,3.1270162545147585e+19,9.066409330473632e+28,1.7376163754452706e-24,2.7539793017763315e-17,11
14,3,-6.935781821777081,8.943802155253529,-18.435733911846707,1.0460440482297025e+19,2.0457399064024804e+29,6.625672092721877e-20,7.151170698330789e-19,8
14,4,-5.87043300282197,-4.088903570731705,-20.059627821824236,1.0514931579034935e+19,2.224064004421881e+29,4.2541908256479233e-23,5.4860473345771686e-17,9
14,5,-10.628197926648767,7.801962093338006,-18.473695900407968,366319238051688.94,1.4231815844436986e+26,1.2492887522559156e-19,1.792687630929931e-18,7
14,6,-22.52169558978657,18.387491055962684,-18.68984540020946,2162.141612274117,20210010723150.3,2.6806384641251014e-20,4.426313235875827e-19,9
14,7,-5.446936339407539,-2.3628455509822164,-31.65449594187429,2.3479985150779664e+20,2.755387921246796e+29,5.70304852870463e-35,3.602767083837558e-16,10
14,8,-0.22594127158980193,-3.886089646404186,-18.33426202086869,4.864949026148573e+19,1.3949405404953884e+29,1.1168308077624216e-31,2.131168467881189e-17,11
