h11,cy_index,max_f_chol,max_log10_f_over_Mpl
2,3,0.04989924417925067,-1.3019060325583076
2,4,0.024214653463856154,-1.6159217417655707
2,5,0.024059882660462828,-1.6187064950359815
2,6,0.045713777054879424,-1.339952894083152
2,7,0.040184653343033346,-1.3959397738051182
2,8,0.03978873577297387,-1.400239859686077
2,9,0.020652889477662483,-1.6850191790479216
3,0,0.047877835260834826,-1.319865493928271
3,1,0.04029195567915632,-1.3947816524415277
3,2,0.06570894725703706,-1.1823754907172934
3,3,0.013012224328446561,-1.88564845816557
3,4,0.00803689015873136,-2.0949119671931986
3,5,0.025476361167134944,-1.5938626029414271
3,6,0.008996153353333269,-2.0459431499528615
3,7,0.009191158066583523,-2.0366297649750686
3,8,0.011221015992717479,-1.9499678186543234
3,9,0.04448515896357361,-1.3517848531820489
4,0,0.019398561429239652,-1.712230475559891
4,1,0.008761019020162518,-2.057445376811931
4,2,0.00935743109661761,-2.0288433621263304
4,3,0.018418605661579178,-1.7347432501653648
4,4,0.03193008065794456,-1.4957999843964773
4,5,0.02693710145762937,-1.5696491379627675
4,6,0.005635155197307145,-2.249094118587539
4,7,0.004106111108110121,-2.3865693031421777
4,8,0.011369891784385367,-1.9442436687922955
4,9,0.0067801740513143294,-2.1687591573784886
5,0,0.001601935965889425,-2.7953548479376025
5,1,0.004685014442644412,-2.329289065960599
5,2,0.00831625527024846,-2.080072188320991
5,3,0.011377203503601701,-1.94396447363546
5,4,0.00502449683053566,-2.298907423392707
5,5,0.0015307562778754985,-2.81509395077768
5,6,0.0025638636654556923,-2.591105072333602
5,7,0.0013604967165415263,-2.8663025020206567
5,8,0.010320595687665468,-1.9862952352281942
5,9,0.004191013812490048,-2.377680907842289
6,0,0.004265342694883913,-2.3700460701194177
6,1,0.0021568324070298196,-2.6661835996957337
6,2,0.0018341465330145856,-2.736565970772055
6,3,0.007823583674730895,-2.106594268212496
6,4,0.001567457525115765,-2.804804218827564
6,5,0.007934922182328424,-2.1004573280081975
6,6,0.0023351800368505223,-2.631679630731038
6,7,0.003733184661633758,-2.4279205272060165
6,8,0.002213276679337524,-2.6549642919929073
6,9,0.003593727437884463,-2.4444548645424438
7,0,0.0009859396157209657,-3.006149682789244
7,1,0.0024380801733650415,-2.6129520172256195
7,2,0.004283522875854017,-2.368198909437667
7,3,0.002343805500770711,-2.6300784308138274
7,4,0.0016366569496042954,-2.786042341056427
7,5,0.0008928834570528156,-3.049205223375617
7,6,0.0016847574161077377,-2.773462623237857
7,7,0.003354731350727435,-2.4743422527135115
7,8,0.002207276896336328,-2.6561431824668804
7,9,0.0016611826246246818,-2.7795826201031453
8,0,0.004400773294209276,-2.356471003536553
8,1,0.001509319409355688,-2.821218843033187
8,2,0.0024456561599263153,-2.611604601405755
8,3,0.003706843484549192,-2.4309957509630555
8,4,0.003388311827120162,-2.4700166282805824
8,5,0.0015483931388123296,-2.81011876177994
8,6,0.0024456561599262914,-2.6116046014057592
8,7,0.0023190810179135463,-2.634684078866036
8,8,0.0009080165762642181,-3.0419062231591245
8,9,0.0029129250993547404,-2.5356706823325577
9,0,0.000506664120354739,-3.295279849377518
9,1,0.0009610260466818095,-3.0172648414918224
9,2,0.0006594545620791131,-3.180815122965431
9,3,0.001600612575792029,-2.7957137752368695
9,4,0.0012082186172302392,-2.917854476586963
9,5,0.0020945794938760703,-2.67890315256388
9,6,0.0010469751947213707,-2.98006360764613
9,7,0.0011812208475227457,-2.927668896718649
9,8,0.0022560856023686664,-2.6466444259958557
9,9,0.001800571451658233,-2.7445896399438006
10,0,0.0001614601810422509,-3.7919345648861302
10,1,0.001100746263758163,-2.958312779983328
10,2,0.0013650949381169826,-2.864837143739308
10,3,0.0009179279771937703,-3.037191393237103
10,4,0.0006730189667336138,-3.1719726965016113
10,5,0.0009059693078253778,-3.042886514980868
10,6,0.000999288146954903,-3.0003092639377136
10,7,0.0011971878044292332,-2.921837715901396
10,8,0.0020405058961036272,-2.69026214598183
10,9,0.0021151801902715185,-2.6746526295621043
11,0,0.0011533175949575676,-2.938051082345717
11,1,0.0008473616095559553,-3.0719312159730836
11,2,0.0008703219360204115,-3.0603200701688595
11,3,0.0021102659420632517,-2.675662810156042
11,4,0.0006388502762203546,-3.1946009130941753
11,5,0.0005182114600327958,-3.2854929870005747
11,6,0.0009680473858236877,-3.0141033834993958
11,7,0.0010271053905300325,-2.988384991478362
11,8,0.0010440419514782585,-2.9812820502518904
11,9,0.0008000965569587028,-3.0968575984781674
12,0,0.0005093048281301929,-3.2930222067604764
12,1,0.00032410420418032914,-3.489315335396437
12,2,0.0019319039707414545,-2.7140144648840794
12,3,0.000886684775971752,-3.05223074813639
12,4,0.0006847320372009032,-3.1644793519135064
12,5,0.0004221714391322641,-3.3745111510539907
12,6,0.00043349820482787465,-3.3630126966536587
12,7,0.0021571909094139836,-2.6661114185339136
12,8,0.0008824947602170639,-3.0542878645413536
12,9,0.0009496691482495679,-3.0224276706226716
13,0,0.0001428844700376653,-3.8450149716531397
13,1,0.0002409861905509575,-3.618007843480527
13,2,0.0007976051755481335,-3.098212036611267
13,3,0.0011179433397038084,-2.951580207073521
13,4,0.0012106551997601487,-2.916979528337969
13,5,0.0011126058603167786,-2.953658656873587
13,6,0.0006681664233831101,-3.175115352262419
13,7,0.0025809332962712416,-2.5882232195691373
13,8,0.0004839716499463139,-3.3151800776789018
13,9,0.00014124570677276983,-3.8500247438853865
14,0,0.000399843983995427,-3.3981094339401894
14,1,0.0005587252061024788,-3.2528017356126533
14,2,0.0013175785051749403,-2.880223498811024
14,3,0.0003938044380676947,-3.40471939379097
14,4,0.00036223042766222286,-3.441015071385937
14,5,0.00034557362962617195,-3.4614594055009937
14,6,0.0013271349751388904,-2.877084905336757
14,7,0.0002996006826687431,-3.5234572013900265
