h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV
10,1,9,51.99999999999986,375516069082018.3,2.7474422073501922e-53,1.781554060057152e-40
10,2,1,29.49999999999875,2074610232682153.2,1.372134004429802e-22,1.6104935029010137e-10
10,2,6,58.99999999999898,3324006174314852.5,7.732039942931588e-63,5.66410417842234e-51
10,2,7,30.99999999999892,818504024789898.5,1.232627908177415e-24,3.666993521726965e-12
10,2,8,19.49999999999929,845010049465078.2,6.041712645752107e-09,17409.935303987608
10,2,9,31.999999999998973,1085187972014188.5,5.326668167361411e-26,1.195224912367113e-13
10,3,1,3.9999999999999645,2172408653491635.8,8491678637369.858,9.518115962556958e+24
10,3,5,10.999999999999545,1100136067971203.4,2389.7863340285453,5289463633431048.0
10,3,8,8.99999999999875,1165043231206427.5,1279710.6403625999,2.674660755769678e+18
10,4,4,30.99999999991121,1638801183996349.5,1.2326279085170462e-24,1.8314905960219837e-12
10,4,5,2.9999999999957936,390425976697621.2,196503325286288.44,1.2255475445546285e+27
10,4,6,59.99999999988319,842123958541049.0,3.3413174222760894e-64,9.66141366805168e-52
10,4,9,18.999999999937472,834858602341386.0,2.9063522030327192e-08,84768.45773089124
10,5,0,67.99999999999935,1667137038567466.8,4.063562130031983e-75,5.935189224234519e-63
10,5,2,29.499999999999755,1483587109783341.8,1.3721340044254733e-22,2.2520728838524066e-10
10,5,6,23.000000000000114,789319637932628.4,1.0135445137702758e-13,0.31267192306208325
10,5,8,53.499999999999545,629804302395140.1,2.4681072912385244e-55,9.542394726918242e-43
10,5,9,7.999999999999956,846170265312328.0,29613390.5874158,8.521760812966126e+19
10,6,3,68.99999999998707,434886821644523.2,1.7560244175373697e-76,9.832258058623435e-64
10,6,6,10.499999999997385,620594290178908.2,11496.013105262373,4.510642839340974e+16
10,6,9,70.999999999983,557964920032221.25,3.2792750352737407e-79,1.43109977423499e-66
10,7,2,51.499999999428326,724320601096506.8,1.3216508617698334e-52,4.443087554789508e-40
10,7,9,6.999999999934744,849386116907547.2,685274369.5382203,1.9645283300612186e+21
10,8,2,23.49999999977331,1577665057321823.0,2.106952042853292e-14,0.03251912185376636
10,8,5,42.99999999950205,933447730311151.2,5.227761319145626e-41,1.363718438511428e-28
10,8,7,19.999999999733802,1139772337293502.0,1.2559486662795187e-09,2683.1981285426687
10,8,9,10.999999999837314,1065583104741056.0,2389.7863352465192,5460981598182680.0
10,9,0,30.99999999999997,5150463763311148.0,1.2326279081733337e-24,5.82753145024068e-13
10,9,1,31.000000000000057,4637062630022907.0,1.2326279081730009e-24,6.472737583849347e-13
10,9,2,53.99999999999997,3644932703641957.5,5.1306909809020845e-56,3.4275619206943217e-44
10,9,3,53.99999999999993,3638916558331766.0,5.1306909809028135e-56,3.433228637764032e-44
10,9,4,62.99999999999998,1548357433279010.2,2.696427039280044e-68,4.240493635079004e-56
